development_fold,subject,model,test_run,balanced_accuracy,accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,training_subjects,target_adaptation_used
10,10,shrinkage_lda,14,0.7916666666666667,0.7857142857142857,0.75,0.8333333333333334,6,2,1,5,14,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,l2_logistic_regression,6,0.5178571428571428,0.5333333333333333,0.2857142857142857,0.75,2,5,2,6,15,False,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,l2_logistic_regression,10,0.7321428571428572,0.7333333333333333,0.75,0.7142857142857143,6,2,2,5,15,False,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,l2_logistic_regression,14,0.8660714285714286,0.8666666666666667,0.875,0.8571428571428571,7,1,1,6,15,False,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,l2_logistic_regression,6,0.5,0.5555555555555556,0.3333333333333333,0.6666666666666666,1,2,2,4,9,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,l2_logistic_regression,10,0.8285714285714285,0.8333333333333334,0.8571428571428571,0.8,6,1,1,4,12,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
10,10,l2_logistic_regression,14,0.8541666666666667,0.8571428571428571,0.875,0.8333333333333334,7,1,1,5,14,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False
11,11,shrinkage_lda,6,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,False,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,shrinkage_lda,10,0.6160714285714286,0.6,0.8571428571428571,0.375,6,1,5,3,15,False,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,shrinkage_lda,14,0.7321428571428572,0.7333333333333333,0.7142857142857143,0.75,5,2,2,6,15,False,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,shrinkage_lda,6,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,shrinkage_lda,10,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2857142857142857,6,1,5,2,14,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,shrinkage_lda,14,0.7321428571428572,0.7333333333333333,0.7142857142857143,0.75,5,2,2,6,15,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,l2_logistic_regression,6,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,False,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,l2_logistic_regression,10,0.5535714285714286,0.5333333333333333,0.8571428571428571,0.25,6,1,6,2,15,False,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,l2_logistic_regression,14,0.6696428571428572,0.6666666666666666,0.7142857142857143,0.625,5,2,3,5,15,False,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,l2_logistic_regression,6,0.6428571428571428,0.6666666666666666,1.0,0.2857142857142857,8,0,5,2,15,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,l2_logistic_regression,10,0.5,0.5,0.8571428571428571,0.14285714285714285,6,1,6,1,14,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
11,11,l2_logistic_regression,14,0.6696428571428572,0.6666666666666666,0.7142857142857143,0.625,5,2,3,5,15,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False
