fold_balanced_accuracy_range,fold_balanced_accuracy_run_10,fold_balanced_accuracy_run_14,fold_balanced_accuracy_run_6,folds_above_chance_count,group_observational_unit,included_trial_count,model,out_of_fold_accuracy,out_of_fold_balanced_accuracy,out_of_fold_feet_recall,out_of_fold_fists_recall,out_of_fold_macro_f1,out_of_fold_roc_auc,out_of_fold_trial_count,out_of_fold_true_feet_predicted_feet,out_of_fold_true_feet_predicted_fists,out_of_fold_true_fists_predicted_feet,out_of_fold_true_fists_predicted_fists,primary_mean_fold_balanced_accuracy,qc_candidate_count,qc_sensitivity,subject
0.06547619047619052,0.48214285714285715,0.48214285714285715,0.41666666666666663,0,participant,33,spectral_baseline_6,0.48484848484848486,0.4666666666666667,0.6666666666666666,0.26666666666666666,0.45268292682926825,0.5444444444444444,33,12,6,11,4,0.4603174603174603,12,True,32
0.2857142857142858,0.3839285714285714,0.5,0.6696428571428572,1,participant,45,csp_4_empirical,0.5333333333333333,0.5355731225296443,0.43478260869565216,0.6363636363636364,0.5296167247386759,0.575098814229249,45,10,13,8,14,0.5178571428571429,12,False,32
0.2797619047619047,0.42857142857142855,0.5,0.7083333333333333,1,participant,33,csp_4_empirical,0.5454545454545454,0.5111111111111111,0.8888888888888888,0.13333333333333333,0.44568868980963045,0.40370370370370373,33,16,2,13,2,0.5456349206349206,12,True,32
0.2053571428571429,0.6607142857142857,0.6607142857142857,0.8660714285714286,3,participant,45,spectral_baseline_6,0.7333333333333333,0.733201581027668,0.7391304347826086,0.7272727272727273,0.733201581027668,0.7687747035573123,45,17,6,6,16,0.7291666666666666,10,False,33
0.2041666666666666,0.7333333333333334,0.8166666666666667,0.9375,3,participant,35,spectral_baseline_6,0.8285714285714286,0.8333333333333334,0.8,0.8666666666666667,0.8273026315789473,0.8133333333333332,35,16,4,2,13,0.8291666666666666,10,True,33
0.1517857142857143,0.6607142857142857,0.5892857142857143,0.7410714285714286,3,participant,45,csp_4_empirical,0.6666666666666666,0.6669960474308301,0.6521739130434783,0.6818181818181818,0.6666666666666666,0.758893280632411,45,15,8,7,15,0.6636904761904763,10,False,33
0.2791666666666667,0.5333333333333333,0.7166666666666667,0.8125,3,participant,35,csp_4_empirical,0.6857142857142857,0.6833333333333333,0.7,0.6666666666666666,0.6815550041356493,0.7999999999999999,35,14,6,5,10,0.6875,10,True,33
0.3571428571428572,0.5,0.8571428571428571,0.8571428571428572,2,participant,42,spectral_baseline_6,0.7380952380952381,0.7380952380952381,0.7619047619047619,0.7142857142857143,0.7379466817923993,0.6984126984126984,42,16,5,6,15,0.7380952380952381,5,False,34
0.419047619047619,0.41428571428571426,0.8285714285714285,0.8333333333333333,2,participant,37,spectral_baseline_6,0.7027027027027027,0.6934523809523809,0.7619047619047619,0.625,0.6946736684171042,0.6398809523809523,37,16,5,6,10,0.6920634920634919,5,True,34
0.2857142857142857,0.7142857142857143,0.9285714285714286,1.0,3,participant,42,csp_4_empirical,0.8809523809523809,0.8809523809523809,0.7619047619047619,1.0,0.8792409430707303,0.9229024943310657,42,16,5,0,21,0.880952380952381,5,False,34
