subject,test_run,condition,calibration_test_direction_cosine,calibration_direction_magnitude
64,10,A,-0.028971729549320223,1.8756813282580649
64,10,B,-0.08926692027331881,2.5242394074389707
64,10,C,-0.028971729549320223,1.8756813282580649
64,14,A,-0.008283638415574293,1.982694364987993
64,14,B,0.0013860898491270448,2.6276260081567058
64,14,C,-0.008283638415574281,1.9826943649879927
65,6,A,0.0034814388251831604,2.299227357083123
65,6,B,-0.009324758292511653,3.1050743720024467
65,6,C,-0.02371995723306406,2.370462864565338
65,10,A,0.06865937101563573,2.20315058531964
65,10,B,0.019579585639326474,2.906810997283443
65,10,C,0.13001695595111099,2.1739747617726026
65,14,A,0.08154643155148604,2.198506589920494
65,14,B,0.10746731209110831,2.976557669353803
65,14,C,0.14291143726229494,2.1782235663065146
66,6,A,0.1768242861880004,2.079678760426528
66,6,B,0.3457736780208361,3.3579760441914566
66,6,C,0.21989849762098848,2.0869842523359288
66,10,A,-0.23094066910646963,2.9483088850786787
66,10,B,-0.2470536727555252,4.488376500706961
66,10,C,-0.2541975489952593,3.209163645239604
66,14,A,0.22370272750793815,2.105962680049707
66,14,B,0.3203809062791881,2.8113876758161354
66,14,C,0.34990817771469274,2.1344995982168293
67,6,A,-0.03657953084522403,1.654494541231711
67,6,B,-0.025561701878698155,2.379544325934808
67,6,C,-0.027325125642686,1.601931145914939
67,10,A,-0.059092255727796354,1.7106022458065921
67,10,B,-0.06716256138861369,2.3805195534836208
67,10,C,-0.07252480754288448,1.6900603305544444
67,14,A,-0.08217183839144829,1.5990997004235683
67,14,B,-0.04744031794886025,2.1895349868807816
67,14,C,-0.05145406701658867,1.5415902602422633
68,6,A,0.024813149435439715,2.309849095700468
68,6,B,0.027876026827954984,3.199951476820892
68,6,C,0.012722983547123208,2.2842866565792335
68,10,A,0.09055985507077052,2.3460031309205776
68,10,B,0.07012546329032818,3.1217850866610104
68,10,C,0.09651933340939174,2.2721081332224435
68,14,A,-0.03924447635708125,2.4254532400855884
68,14,B,-0.032963537820404454,3.0970172292793174
68,14,C,-0.03750391111551935,2.349937348472069
69,6,A,0.090848090960291,1.976498315910328
69,6,B,0.10309245233804412,2.707782296547588
69,6,C,0.08100209756030845,1.9007486970791942
69,10,A,0.13941079742789644,1.8425050240782253
69,10,B,0.13448602393492096,2.5709114416500336
69,10,C,0.1669731193021664,1.8095566012937865
69,14,A,0.1351806646933699,1.7662359915149
69,14,B,0.11798181027592512,2.3972201231453
69,14,C,0.13562190361326631,1.7521727320865663
70,6,A,0.3405799996210286,2.4880834200914137
70,6,B,0.2706214573313176,3.1365190388950097
70,6,C,0.31230444482176767,2.4037240355741143
70,10,A,0.31019698589668243,2.642026059293455
70,10,B,0.2569110430739909,3.066475676457431
