subject,method,calibration_size,zero_balanced_accuracy,calibrated_balanced_accuracy,gain_over_matched_zero
62,threshold,14,0.8660714285714285,0.7886904761904763,-0.07738095238095222
63,threshold,0,0.49702380952380953,0.49702380952380953,0.0
63,threshold,4,0.49702380952380953,0.5074404761904762,0.01041666666666663
63,threshold,8,0.49702380952380953,0.5416666666666666,0.044642857142857095
63,threshold,12,0.49702380952380953,0.5431547619047619,0.04613095238095233
63,threshold,14,0.49702380952380953,0.53125,0.034226190476190466
64,threshold,0,0.7142857142857143,0.7142857142857143,0.0
64,threshold,4,0.7142857142857143,0.5952380952380952,-0.11904761904761907
64,threshold,8,0.7142857142857143,0.7261904761904762,0.011904761904761862
64,threshold,12,0.7142857142857143,0.7142857142857143,0.0
64,threshold,14,0.7142857142857143,0.6428571428571428,-0.07142857142857151
65,threshold,0,0.5833333333333334,0.5833333333333334,0.0
65,threshold,4,0.5833333333333334,0.6428571428571429,0.059523809523809534
65,threshold,8,0.5833333333333334,0.581845238095238,-0.0014880952380953438
65,threshold,12,0.5833333333333334,0.5803571428571429,-0.0029761904761904656
65,threshold,14,0.5833333333333334,0.599702380952381,0.016369047619047672
66,threshold,0,0.5,0.5,0.0
66,threshold,4,0.5,0.4523809523809524,-0.047619047619047616
66,threshold,8,0.5,0.4985119047619047,-0.0014880952380952883
66,threshold,12,0.5,0.49553571428571436,-0.004464285714285643
66,threshold,14,0.5,0.44196428571428575,-0.058035714285714246
67,threshold,0,0.5208333333333334,0.5208333333333334,0.0
67,threshold,4,0.5208333333333334,0.4449404761904761,-0.07589285714285726
67,threshold,8,0.5208333333333334,0.4553571428571428,-0.06547619047619058
67,threshold,12,0.5208333333333334,0.5178571428571428,-0.0029761904761905766
67,threshold,14,0.5208333333333334,0.525297619047619,0.004464285714285587
68,threshold,0,0.7172619047619048,0.7172619047619048,0.0
68,threshold,4,0.7172619047619048,0.6785714285714287,-0.03869047619047605
68,threshold,8,0.7172619047619048,0.6875,-0.029761904761904767
68,threshold,12,0.7172619047619048,0.6622023809523809,-0.055059523809523836
68,threshold,14,0.7172619047619048,0.6651785714285715,-0.05208333333333326
69,threshold,0,0.49702380952380953,0.49702380952380953,0.0
69,threshold,4,0.49702380952380953,0.613095238095238,0.11607142857142849
69,threshold,8,0.49702380952380953,0.7663690476190476,0.269345238095238
69,threshold,12,0.49702380952380953,0.7663690476190476,0.269345238095238
69,threshold,14,0.49702380952380953,0.7083333333333334,0.21130952380952384
70,threshold,0,0.6160714285714285,0.6160714285714285,0.0
70,threshold,4,0.6160714285714285,0.7514880952380952,0.13541666666666674
70,threshold,8,0.6160714285714285,0.7514880952380952,0.13541666666666674
70,threshold,12,0.6160714285714285,0.8095238095238096,0.19345238095238115
70,threshold,14,0.6160714285714285,0.8020833333333334,0.18601190476190488
71,threshold,0,0.5714285714285715,0.5714285714285715,0.0
71,threshold,4,0.5714285714285715,0.7336309523809524,0.16220238095238093
71,threshold,8,0.5714285714285715,0.7425595238095237,0.17113095238095222
71,threshold,12,0.5714285714285715,0.7425595238095237,0.17113095238095222
71,threshold,14,0.5714285714285715,0.7425595238095237,0.17113095238095222
72,threshold,0,0.8809523809523809,0.8809523809523809,0.0
72,threshold,4,0.8809523809523809,1.0,0.11904761904761907
72,threshold,8,0.8809523809523809,1.0,0.11904761904761907
72,threshold,12,0.8809523809523809,1.0,0.11904761904761907
72,threshold,14,0.8809523809523809,1.0,0.11904761904761907
73,threshold,0,0.6666666666666666,0.6666666666666666,0.0
73,threshold,4,0.6666666666666666,0.75,0.08333333333333337
73,threshold,8,0.6666666666666666,0.7380952380952381,0.07142857142857151
73,threshold,12,0.6666666666666666,0.7619047619047619,0.09523809523809523
73,threshold,14,0.6666666666666666,0.7380952380952381,0.07142857142857151
74,threshold,0,0.4761904761904762,0.4761904761904762,0.0
74,threshold,4,0.4761904761904762,0.5833333333333334,0.10714285714285715
74,threshold,8,0.4761904761904762,0.5833333333333333,0.10714285714285704
74,threshold,12,0.4761904761904762,0.5714285714285713,0.09523809523809507
74,threshold,14,0.4761904761904762,0.5952380952380952,0.11904761904761901
75,threshold,0,0.6815476190476191,0.6815476190476191,0.0
75,threshold,4,0.6815476190476191,0.6175595238095238,-0.06398809523809523
75,threshold,8,0.6815476190476191,0.6309523809523809,-0.05059523809523814
