subject,test_run,size,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
47,6,26,0.4285714285714286,0.0,0.8571428571428572,2,15
47,6,28,0.35714285714285715,0.0,0.7142857142857143,1,15
47,10,14,0.3125,0.5,0.125,2,15
47,10,18,0.4955357142857143,0.42857142857142855,0.5625,2,15
47,10,22,0.5357142857142858,0.5714285714285714,0.5,2,15
47,10,26,0.3348214285714286,0.3571428571428571,0.3125,2,15
47,10,28,0.3392857142857143,0.42857142857142855,0.25,1,15
47,14,14,0.5758928571428571,0.9375,0.21428571428571427,2,15
47,14,18,0.4598214285714286,0.0625,0.8571428571428572,2,15
47,14,22,0.4285714285714286,0.0,0.8571428571428572,2,15
47,14,26,0.4642857142857143,0.0,0.9285714285714286,2,15
47,14,28,0.42857142857142855,0.0,0.8571428571428571,1,15
48,6,14,0.7321428571428572,0.75,0.7142857142857143,2,15
48,6,18,0.7321428571428572,0.75,0.7142857142857143,2,15
48,6,22,0.7678571428571429,0.75,0.7857142857142857,2,15
48,6,26,0.8035714285714286,0.75,0.8571428571428572,2,15
48,6,28,0.8035714285714286,0.75,0.8571428571428571,1,15
48,10,14,0.6473214285714286,0.9375,0.3571428571428571,2,15
48,10,18,0.5803571428571428,0.875,0.2857142857142857,2,15
48,10,22,0.6160714285714286,0.875,0.3571428571428571,2,15
48,10,26,0.6517857142857142,0.875,0.42857142857142855,2,15
48,10,28,0.7232142857142857,0.875,0.5714285714285714,1,15
48,14,14,0.8928571428571429,1.0,0.7857142857142857,2,15
48,14,18,0.8571428571428572,1.0,0.7142857142857143,2,15
48,14,22,0.8258928571428572,0.9375,0.7142857142857143,2,15
48,14,26,0.7946428571428572,0.875,0.7142857142857143,2,15
48,14,28,0.7946428571428572,0.875,0.7142857142857143,1,15
49,6,14,0.6875,0.5,0.875,2,15
49,6,18,0.7901785714285714,0.6428571428571428,0.9375,2,15
49,6,22,0.7633928571428572,0.7142857142857143,0.8125,2,15
49,6,26,0.8660714285714286,0.8571428571428572,0.875,2,15
49,6,28,0.7946428571428572,0.7142857142857143,0.875,1,15
49,10,14,0.6071428571428571,0.21428571428571427,1.0,2,15
49,10,18,0.6785714285714286,0.3571428571428571,1.0,2,15
49,10,22,0.7232142857142857,0.5714285714285714,0.875,2,15
49,10,26,0.7544642857142857,0.5714285714285714,0.9375,2,15
49,10,28,0.7857142857142857,0.5714285714285714,1.0,1,15
49,14,14,0.6071428571428571,0.21428571428571427,1.0,2,15
49,14,18,0.7142857142857143,0.42857142857142855,1.0,2,15
49,14,22,0.7142857142857143,0.42857142857142855,1.0,2,15
49,14,26,0.7142857142857143,0.42857142857142855,1.0,2,15
49,14,28,0.7142857142857143,0.42857142857142855,1.0,1,15
50,6,14,0.6830357142857143,0.9375,0.42857142857142855,2,15
50,6,18,0.6160714285714286,0.875,0.3571428571428571,2,15
50,6,22,0.6517857142857143,0.875,0.42857142857142855,2,15
50,6,26,0.6160714285714286,0.875,0.3571428571428571,2,15
50,6,28,0.6517857142857143,0.875,0.42857142857142855,1,15
50,10,14,0.48660714285714285,0.6875,0.2857142857142857,2,15
50,10,18,0.6785714285714286,0.5,0.8571428571428572,2,15
50,10,22,0.59375,0.6875,0.5,2,15
50,10,26,0.7232142857142857,0.875,0.5714285714285714,2,15
50,10,28,0.7232142857142857,0.875,0.5714285714285714,1,15
50,14,14,0.625,0.25,1.0,2,15
50,14,18,0.71875,0.4375,1.0,2,15
50,14,22,0.625,0.25,1.0,2,15
50,14,26,0.65625,0.3125,1.0,2,15
50,14,28,0.6875,0.375,1.0,1,15
51,6,14,0.5357142857142857,0.8571428571428572,0.21428571428571427,2,14
51,6,18,0.5714285714285714,0.7142857142857142,0.42857142857142855,2,14
51,6,22,0.6785714285714286,0.9285714285714286,0.42857142857142855,2,14
51,6,26,0.7142857142857143,1.0,0.42857142857142855,2,14
51,6,28,0.7142857142857143,1.0,0.42857142857142855,1,14
51,10,14,0.7857142857142857,0.9285714285714286,0.6428571428571428,2,14
51,10,18,0.7857142857142857,1.0,0.5714285714285714,2,14
