accuracy,balanced_accuracy,feet_recall,fists_recall,fold,macro_f1,model,qc_sensitivity,roc_auc,subject,test_run,training_runs,trial_count,true_feet_predicted_feet,true_feet_predicted_fists,true_fists_predicted_feet,true_fists_predicted_fists
0.5,0.5,0.6,0.4,1,0.4949494949494949,spectral_baseline_6,True,0.52,102,6,10/14,10,3,2,3,2
0.6,0.5416666666666667,0.8333333333333334,0.25,2,0.5238095238095238,spectral_baseline_6,True,0.5,102,10,6/14,10,5,1,3,1
0.5384615384615384,0.5357142857142857,0.5,0.5714285714285714,3,0.5357142857142857,spectral_baseline_6,True,0.5714285714285714,102,14,6/10,13,3,3,3,4
0.5714285714285714,0.5714285714285714,0.2857142857142857,0.8571428571428571,1,0.5333333333333333,csp_4_empirical,False,0.5510204081632653,102,6,10/14,14,2,5,1,6
0.5,0.5,1.0,0.0,2,0.3333333333333333,csp_4_empirical,False,0.40816326530612246,102,10,6/14,14,7,0,7,0
0.5,0.5,0.2857142857142857,0.7142857142857143,3,0.47593582887700536,csp_4_empirical,False,0.5102040816326531,102,14,6/10,14,2,5,2,5
0.8,0.8,0.6,1.0,1,0.7916666666666667,csp_4_empirical,True,1.0,102,6,10/14,10,3,2,0,5
0.6,0.5,1.0,0.0,2,0.375,csp_4_empirical,True,0.5,102,10,6/14,10,6,0,4,0
0.5384615384615384,0.5595238095238095,0.8333333333333334,0.2857142857142857,3,0.5125,csp_4_empirical,True,0.5952380952380952,102,14,6/10,13,5,1,5,2
0.5333333333333333,0.5446428571428572,0.7142857142857143,0.375,1,0.5248868778280543,spectral_baseline_6,False,0.5,103,6,10/14,15,5,2,5,3
0.6,0.6160714285714286,0.375,0.8571428571428571,2,0.5833333333333333,spectral_baseline_6,False,0.5357142857142857,103,10,6/14,15,3,5,1,6
0.4,0.3839285714285714,0.625,0.14285714285714285,3,0.354066985645933,spectral_baseline_6,False,0.4285714285714286,103,14,6/10,15,5,3,6,1
