subject,model,primary_mean_run_balanced_accuracy,balanced_accuracy_run_6,balanced_accuracy_run_10,balanced_accuracy_run_14,participant_run_range,pooled_balanced_accuracy,pooled_accuracy,fists_recall,feet_recall,true_fists_predicted_fists,true_fists_predicted_feet,true_feet_predicted_fists,true_feet_predicted_feet,trial_count,qc_sensitivity,group_observational_unit,zero_shot,target_adaptation_used
29,shrinkage_lda,0.8035714285714285,0.6160714285714286,0.9375,0.8571428571428572,0.3214285714285714,0.7974308300395256,0.8,0.6818181818181818,0.9130434782608695,15,7,2,21,45,False,participant,True,False
29,shrinkage_lda,0.8293650793650794,0.7142857142857143,0.9166666666666667,0.8571428571428572,0.20238095238095244,0.7985294117647059,0.8108108108108109,0.6470588235294118,0.95,11,6,1,19,37,True,participant,True,False
30,shrinkage_lda,0.5178571428571429,0.5625,0.5625,0.42857142857142855,0.13392857142857145,0.5178571428571428,0.4888888888888889,0.08333333333333333,0.9523809523809523,2,22,1,20,45,False,participant,True,False
30,shrinkage_lda,0.5,0.5,0.5,0.5,0.0,0.5,0.4864864864864865,0.0,1.0,0,19,0,18,37,True,participant,True,False
31,shrinkage_lda,0.5744047619047619,0.5982142857142857,0.6517857142857143,0.4732142857142857,0.1785714285714286,0.5800395256916996,0.5777777777777777,0.4782608695652174,0.6818181818181818,11,12,7,15,45,False,participant,True,False
31,shrinkage_lda,0.5744047619047619,0.6071428571428572,0.6428571428571428,0.4732142857142857,0.1696428571428571,0.575,0.5714285714285714,0.5,0.65,11,11,7,13,42,True,participant,True,False
32,shrinkage_lda,0.5505952380952381,0.5267857142857143,0.5357142857142857,0.5892857142857143,0.0625,0.5563241106719368,0.5555555555555556,0.5909090909090909,0.5217391304347826,13,9,11,12,45,False,participant,True,False
32,shrinkage_lda,0.5694444444444445,0.5833333333333333,0.5357142857142857,0.5892857142857143,0.0535714285714286,0.5833333333333333,0.5757575757575758,0.6666666666666666,0.5,10,5,9,9,33,True,participant,True,False
33,shrinkage_lda,0.6845238095238096,0.7946428571428572,0.7410714285714286,0.5178571428571428,0.2767857142857144,0.6857707509881423,0.6888888888888889,0.5454545454545454,0.8260869565217391,12,10,4,19,45,False,participant,True,False
33,shrinkage_lda,0.7513888888888888,0.9375,0.7,0.6166666666666667,0.3208333333333333,0.75,0.7714285714285715,0.6,0.9,9,6,2,18,35,True,participant,True,False
34,shrinkage_lda,0.7619047619047619,0.8571428571428571,0.7857142857142857,0.6428571428571428,0.2142857142857143,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.8571428571428571,14,7,3,18,42,False,participant,True,False
34,shrinkage_lda,0.7619047619047619,0.9285714285714286,0.7285714285714285,0.6285714285714286,0.30000000000000004,0.7723214285714286,0.7837837837837838,0.6875,0.8571428571428571,11,5,3,18,37,True,participant,True,False
35,shrinkage_lda,0.6875,0.75,0.625,0.6875,0.125,0.6875,0.6666666666666666,0.375,1.0,9,15,0,21,45,False,participant,True,False
35,shrinkage_lda,0.6994047619047619,0.7857142857142857,0.625,0.6875,0.1607142857142857,0.6956521739130435,0.6818181818181818,0.391304347826087,1.0,9,14,0,21,44,True,participant,True,False
36,shrinkage_lda,0.6011904761904762,0.4107142857142857,0.6517857142857143,0.7410714285714286,0.3303571428571429,0.5988142292490118,0.6,0.5454545454545454,0.6521739130434783,12,10,8,15,45,False,participant,True,False
36,shrinkage_lda,0.6329365079365079,0.4583333333333333,0.5952380952380952,0.8452380952380952,0.3869047619047619,0.6237373737373737,0.625,0.6111111111111112,0.6363636363636364,11,7,8,14,40,True,participant,True,False
