subject,test_run,condition,balanced_accuracy,fists_recall,feet_recall,variant_count,test_trial_count
48,14,B,0.8928571428571429,1.0,0.7857142857142857,2,15
48,14,C,0.8571428571428572,1.0,0.7142857142857143,1,15
49,6,A,0.6517857142857143,0.42857142857142855,0.875,2,15
49,6,B,0.6875,0.5,0.875,2,15
49,6,C,0.9375,1.0,0.875,1,15
49,10,A,0.6428571428571428,0.2857142857142857,1.0,2,15
49,10,B,0.6071428571428571,0.21428571428571427,1.0,2,15
49,10,C,0.5714285714285714,0.14285714285714285,1.0,1,15
49,14,A,0.6071428571428571,0.21428571428571427,1.0,2,15
49,14,B,0.6071428571428571,0.21428571428571427,1.0,2,15
49,14,C,0.7142857142857143,0.42857142857142855,1.0,1,15
50,6,A,0.6741071428571429,0.5625,0.7857142857142857,2,15
50,6,B,0.6830357142857143,0.9375,0.42857142857142855,2,15
50,6,C,0.5892857142857143,0.75,0.42857142857142855,1,15
50,10,A,0.6696428571428572,0.625,0.7142857142857142,2,15
50,10,B,0.48660714285714285,0.6875,0.2857142857142857,2,15
50,10,C,0.7232142857142857,0.875,0.5714285714285714,1,15
50,14,A,0.6517857142857143,0.375,0.9285714285714286,2,15
50,14,B,0.625,0.25,1.0,2,15
50,14,C,0.75,0.5,1.0,1,15
51,6,A,0.7142857142857143,1.0,0.42857142857142855,2,14
51,6,B,0.5357142857142857,0.8571428571428572,0.21428571428571427,2,14
51,6,C,0.7142857142857143,1.0,0.42857142857142855,1,14
51,10,A,0.7142857142857143,1.0,0.42857142857142855,2,14
51,10,B,0.7857142857142857,0.9285714285714286,0.6428571428571428,2,14
51,10,C,0.6428571428571428,1.0,0.2857142857142857,1,14
51,14,A,0.6071428571428572,0.5714285714285714,0.6428571428571428,2,14
51,14,B,0.5,0.14285714285714285,0.8571428571428571,2,14
51,14,C,0.5714285714285714,0.8571428571428571,0.2857142857142857,1,14
52,6,A,0.7991071428571429,0.7857142857142857,0.8125,2,15
52,6,B,0.96875,1.0,0.9375,2,15
52,6,C,0.9375,1.0,0.875,1,15
52,10,A,0.6875,0.5,0.875,2,15
52,10,B,0.7232142857142858,0.5714285714285714,0.875,2,15
52,10,C,0.7946428571428572,0.7142857142857143,0.875,1,15
52,14,A,0.6071428571428572,0.5,0.7142857142857142,2,15
52,14,B,0.8125,0.625,1.0,2,15
52,14,C,0.8035714285714286,0.75,0.8571428571428571,1,15
53,6,A,0.5758928571428571,0.7142857142857142,0.4375,2,15
53,6,B,0.3973214285714286,0.35714285714285715,0.4375,2,15
53,6,C,0.5267857142857143,0.42857142857142855,0.625,1,15
53,10,A,0.4910714285714286,0.625,0.35714285714285715,2,15
53,10,B,0.4598214285714286,0.0625,0.8571428571428572,2,15
53,10,C,0.41964285714285715,0.125,0.7142857142857143,1,15
53,14,A,0.5669642857142857,0.5625,0.5714285714285714,2,15
53,14,B,0.5,1.0,0.0,2,15
53,14,C,0.5714285714285714,1.0,0.14285714285714285,1,15
54,6,A,0.8303571428571429,0.7857142857142857,0.875,2,15
54,6,B,0.6607142857142858,0.5714285714285714,0.75,2,15
54,6,C,0.7857142857142857,0.5714285714285714,1.0,1,15
54,10,A,0.5267857142857143,0.625,0.42857142857142855,2,15
54,10,B,0.6875,0.875,0.5,2,15
