subject,size,balanced_accuracy,fists_recall,feet_recall
31,14,0.7767857142857144,0.7291666666666666,0.8244047619047619
31,18,0.8080357142857144,0.7261904761904763,0.8898809523809524
31,22,0.8482142857142857,0.7648809523809524,0.9315476190476191
31,26,0.8898809523809524,0.8690476190476191,0.9107142857142857
31,28,0.8898809523809524,0.8690476190476191,0.9107142857142857
32,14,0.5386904761904762,0.7857142857142857,0.2916666666666667
32,18,0.5520833333333334,0.8333333333333334,0.2708333333333333
32,22,0.6309523809523809,0.6815476190476191,0.5803571428571429
32,26,0.5773809523809524,0.7589285714285715,0.3958333333333333
32,28,0.49702380952380953,0.9523809523809524,0.041666666666666664
33,14,0.5357142857142857,0.48214285714285715,0.5892857142857143
33,18,0.6488095238095238,0.6071428571428571,0.6904761904761904
33,22,0.6175595238095238,0.6071428571428571,0.6279761904761905
33,26,0.6532738095238096,0.6577380952380952,0.6488095238095238
33,28,0.6636904761904763,0.6785714285714285,0.6488095238095238
34,14,0.8452380952380952,0.8809523809523809,0.8095238095238094
34,18,0.8571428571428571,0.9047619047619048,0.8095238095238094
34,22,0.8928571428571428,0.9761904761904763,0.8095238095238094
34,26,0.8928571428571428,0.9761904761904763,0.8095238095238094
34,28,0.880952380952381,1.0,0.7619047619047619
35,14,0.9330357142857143,0.9375,0.9285714285714285
35,18,0.9880952380952381,1.0,0.9761904761904763
35,22,0.9761904761904763,1.0,0.9523809523809524
35,26,0.9642857142857143,1.0,0.9285714285714285
35,28,0.9523809523809524,1.0,0.9047619047619048
36,14,0.71875,0.7916666666666666,0.6458333333333334
36,18,0.7336309523809524,0.7708333333333334,0.6964285714285715
36,22,0.6919642857142857,0.7291666666666666,0.6547619047619048
36,26,0.6934523809523809,0.7291666666666666,0.6577380952380952
36,28,0.6875,0.6785714285714285,0.6964285714285715
37,14,0.5476190476190476,0.38095238095238093,0.7142857142857143
37,18,0.5714285714285714,0.3095238095238095,0.8333333333333334
37,22,0.6309523809523808,0.42857142857142855,0.8333333333333334
37,26,0.6309523809523809,0.5714285714285715,0.6904761904761904
37,28,0.5952380952380952,0.5714285714285715,0.6190476190476191
38,14,0.5342261904761906,0.30952380952380953,0.7589285714285715
38,18,0.5595238095238094,0.48214285714285715,0.6369047619047619
38,22,0.5446428571428571,0.5,0.5892857142857143
38,26,0.5401785714285715,0.6041666666666666,0.4761904761904762
38,28,0.5089285714285715,0.5238095238095238,0.49404761904761907
39,14,0.5252976190476191,0.5625,0.48809523809523814
39,18,0.5431547619047619,0.5535714285714285,0.5327380952380952
39,22,0.5476190476190476,0.5267857142857143,0.5684523809523809
39,26,0.5282738095238095,0.4583333333333333,0.5982142857142857
39,28,0.6071428571428572,0.5297619047619048,0.6845238095238094
40,14,0.6309523809523809,0.4851190476190476,0.7767857142857143
40,18,0.5892857142857143,0.3095238095238095,0.8690476190476191
40,22,0.6041666666666666,0.38095238095238093,0.8273809523809524
40,26,0.556547619047619,0.2857142857142857,0.8273809523809524
40,28,0.6428571428571428,0.375,0.9107142857142857
41,14,0.6190476190476191,0.7619047619047619,0.4761904761904761
41,18,0.5952380952380952,0.7380952380952381,0.4523809523809524
41,22,0.5714285714285714,0.880952380952381,0.2619047619047619
41,26,0.6071428571428571,0.8333333333333334,0.38095238095238093
